Rok / Kraj,1996,1998,2002,2006,2010,2013,2017
PHA,0.187,0.234,0.259,0.233,0.152,0.141,0.056
STC,0.254,0.327,0.315,0.307,0.205,0.184,0.066
JCK,0.267,0.310,0.303,0.305,0.206,0.207,0.073
PZK,0.250,0.318,0.303,0.317,0.220,0.217,0.080
KVK,0.312,0.375,0.293,0.327,0.233,0.213,0.070
UTK,0.294,0.356,0.292,0.355,0.249,0.208,0.066
LBK,0.265,0.318,0.271,0.293,0.194,0.169,0.057
KHK,0.242,0.286,0.275,0.301,0.199,0.186,0.065
PUK,0.258,0.313,0.295,0.330,0.220,0.205,0.075
VYS,0.264,0.323,0.320,0.354,0.234,0.230,0.094
JMK,0.238,0.311,0.299,0.330,0.234,0.229,0.084
OCK,0.326,0.367,0.319,0.354,0.245,0.222,0.074
ZLK,0.263,0.320,0.291,0.333,0.219,0.194,0.069
MSK,0.348,0.410,0.361,0.405,0.291,0.264,0.088
